,Genus_and_species,superkingdom,phylum,class,order,family,genus,GC_genome,genome_size,GC_16SrRNA,Tmin,Topt_ave,Topt_low,Topt_high,Tmax,Trange
48,Acidianus infernus,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31,,64,65,90,,,96,31
49,Acidianus manzaensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,30.6,2.7,61.4,60,80,,,90,30
50,Acidianus ambivalens,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,34.2,2.3,63.7,70,80,,,87,17
51,Acidianus sulfidivorans,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31.1,2.3,60.7,45,74,,,83,38
52,Acidianus tengchongensis,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,38,,60.6,55,70,,,80,25
53,Acidianus brierleyi,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Acidianus,31.9,2.9,60.4,45,70,,,75,30
65,Acidilobus aceticus,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,53.8,,66.1,60,85,,,92,32
66,Acidilobus saccharovorans,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,57.2,1.5,67.3,60,82.5,80,85,90,30
67,Acidilobus sulfurireducens,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Acidilobaceae,Acidilobus,59.9,,67.7,62,81,,,89,27
77,Acidiplasma aeolicum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,36,,51.8,15,45,,,65,50
78,Acidiplasma cupricumulans,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Acidiplasma,36,,51.8,22,53.6,,,63,41
104,Aciduliprofundum boonei,Archaea,Euryarchaeota,,,,Aciduliprofundum,39.2,1.5,62,55,70,,,75,20
255,Aeropyrum pernix,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,56.3,1.7,67.7,70,92.5,,,100,30
256,Aeropyrum camini,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum,56.7,1.6,65.8,70,85,,,97,27
738,Archaeoglobus fulgidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,48.6,2.2,63.9,60,83,,,90,30
739,Archaeoglobus profundus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,42,1.6,65.1,65,82,,,90,25
740,Archaeoglobus lithotrophicus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,40,,64.1,55,80,,,87,32
741,Archaeoglobus veneficus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,47,1.9,58.7,65,80,,,85,20
742,Archaeoglobus sulfaticallidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,43.2,2.1,62.1,60,75,,,80,20
743,Archaeoglobus infectus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus,45.9,,62.7,60,70,,,75,15
1362,Caldisphaera lagunensis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,30,1.5,61.7,45,72.5,70,75,80,35
1363,Caldisphaera draconis,Archaea,Crenarchaeota,Thermoprotei,Acidilobales,Caldisphaeraceae,Caldisphaera,53.9,,61.7,60,71,70,72,79,19
1369,Caldivirga maquilingensis,Archaea,Crenarchaeota,Thermoprotei,Thermoproteales,Thermoproteaceae,Caldivirga,43.1,2.1,65.7,60,85,,,92,32
1774,Conexivisphaera calidus,Archaea,Candidatus Geothermarchaeota,,,,Conexivisphaera,62.1,,63.3,60,65,,,70,10
1840,Cuniculiplasma divulgatum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Cuniculiplasmataceae,Cuniculiplasma,37.2,1.9,53.8,10,38.5,37,40,48,38
2101,Desulfurococcus amylolyticus,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Desulfurococcus,44.8,1.4,65.5,68,91,90,92,97,29
2356,Ferroglobus placidus,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Ferroglobus,44.1,2.2,65.9,65,85,,,95,30
2357,Ferroplasma thermophilum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,34.1,,51.6,30,45,,,60,30
2358,Ferroplasma acidarmanus,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,36.5,1.9,51.2,23,42,,,46,23
2359,Ferroplasma acidiphilum,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Ferroplasmaceae,Ferroplasma,36.5,1.8,51,20,35,,,45,25
2369,Fervidicoccus fontis,Archaea,Crenarchaeota,Thermoprotei,Fervidicoccales,Fervidicoccaceae,Fervidicoccus,37.5,1.3,62.4,55,67.5,65,70,85,30
2759,Geogemma barossii,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Pyrodictiaceae,Geogemma,,,,85,106,,,121,36
2760,Geoglobus ahangari,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,53.1,1.8,64.5,65,88,,,90,25
2761,Geoglobus acetivorans,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Geoglobus,46.8,1.9,63.6,50,81,,,85,35
2914,Haladaptatus litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,54,,56.9,25,38.5,37,40,55,30
2915,Haladaptatus cibarius,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,56.5,,57.3,15,37,,,50,35
2916,Haladaptatus pallidirubidus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,57.4,,57.7,25,39.5,37,42,50,25
2917,Haladaptatus paucihalophilus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haladaptatus,60.5,,57.1,25,40,,,45,20
2919,Halalkalicoccus paucihalophilus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,60.4,,58.7,16,37,,,50,34
2920,Halalkalicoccus jeotgali,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,62.6,3.7,59.2,21,41,37,45,50,29
2921,Halalkalicoccus tibetensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halalkalicoccus,61.5,,58.8,23,40,,,47,24
2938,Halapricum salinum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,63.7,3.5,58.5,30,37,,,45,15
2939,Halarchaeum nitratireducens,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,61.2,,57.7,18,45,,,55,37
2940,Halarchaeum solikamskense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,66.4,,57.5,25,42.5,35,50,55,30
2941,Halarchaeum grantii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,65.2,,57.7,35,45,,,50,15
2942,Halarchaeum rubridurum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,63.2,,58.1,20,42.5,40,45,50,30
2943,Halarchaeum acidiphilum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,61.4,,57.3,15,37,,,45,30
2944,Halarchaeum salinum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halarchaeum,59.3,,57.2,15,42,,,42,27
2946,Halegenticoccus soli,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halegenticoccus,66.9,,59.3,25,37,,,50,25
2960,Haloarchaeobius iranensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,67.7,,57.4,25,40,,,55,30
2961,Haloarchaeobius salinus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,63.7,,58.1,25,37,,,50,25
2962,Haloarchaeobius amylolyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,65.3,,56.8,25,37,,,50,25
2963,Haloarchaeobius litoreus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,67.7,,57.4,25,37,,,50,25
2964,Haloarchaeobius baliensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Haloarchaeobius,67.2,,57.6,20,43,42,44,48,28
2965,Haloarcula quadrata,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,60.1,,56.8,30,53,,,53,23
2966,Haloarcula amylolytica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62.4,,57,20,41,,,52,32
2967,Haloarcula argentinensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62,,57,20,45,,,50,30
2968,Haloarcula hispanica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62.5,3.9,55.8,25,40,,,50,25
2969,Haloarcula japonica,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,63.3,,54.3,24,45,,,45,21
2970,Haloarcula vallismortis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,64.7,,57.4,20,40,,,45,25
2971,Haloarcula salaria,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,61.6,,56.8,15,37,,,45,30
2972,Haloarcula tradensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,62.2,,57.8,15,37,,,45,30
2993,Halobacterium salinarum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,65.9,2.6,58.3,20,50,,,55,35
2994,Halobacterium jilantaiense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,64.2,,57.7,22,40,,,55,33
2995,Halobacterium hubeiense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,66.6,3.1,58.3,22,45,,,50,28
2996,Halobacterium noricense,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,54.4,,58.2,28,45,,,50,22
2997,Halobacterium litoreum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,66.7,,58.6,20,35,,,50,30
2998,Halobacterium rubrum,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halobacterium,69.2,,58.7,20,36,35,37,50,30
2999,Halobaculum magnesiiphilum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobaculum,67,,58.8,25,45,,,55,30
3000,Halobaculum roseum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobaculum,65.9,,58.9,25,40,,,50,25
3001,Halobellus limi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,65.9,3.7,57.3,25,45,,,55,30
3002,Halobellus rufus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,67,,57.4,20,37,,,55,35
3003,Halobellus ramosii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,61.4,,58.1,25,37,,,50,25
3004,Halobellus rarus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,66.1,,57.3,20,37,,,50,30
3005,Halobellus inordinatus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,65.8,,58.6,20,37,,,50,30
3006,Halobellus litoreus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,66.8,,57.1,25,37,,,50,25
3007,Halobellus clavatus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,61.9,,58.1,25,37,,,50,25
3008,Halobellus salinus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halobellus,67,,58.8,25,37,,,45,20
3009,Halobiforma lacisalsi,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halobiforma,65.2,4.4,59.1,24,43.5,42,45,57,33
3010,Halobiforma nitratireducens,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halobiforma,66.9,,58.9,26,38.5,36,41,44,18
3011,Halobium salinum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobium,68.9,,57.6,20,37,,,50,30
3012,Halobium palmae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halobium,67,,58.9,20,39.5,38,41,48,28
3013,Halocalculus aciditolerans,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halocalculus,68.5,,57.6,20,40,,,60,40
3015,Halococcus salifodinae,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,62,,59.6,28,40,,,50,22
3016,Halococcus dombrowskii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,61.3,,58.9,28,38.5,37,40,50,22
3017,Halococcus agarilyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,63,,59.9,22,42,,,47,25
3018,Halococcus thailandensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,60.8,,58.8,15,37,,,45,30
3019,Halococcus salsus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,66.5,,58.4,20,39,38,40,45,25
3020,Halococcus qingdaonensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,61.2,,59.2,26,37.5,35,40,45,19
3021,Halococcus saccharolyticus,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,63.4,,59.3,28,37,,,42,14
3022,Halococcus sediminicola,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halococcaceae,Halococcus,66,,59.2,25,37.5,35,40,40,15
3027,Haloferax elongans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,61.4,,56.9,30,53,,,55,25
3028,Haloferax denitrificans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,66.3,,56.6,30,50,,,55,25
3029,Haloferax volcanii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,65.5,4,56.9,20,45,,,55,35
3030,Haloferax gibbonsii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,66.2,3.9,56.2,25,40,,,55,30
3031,Haloferax alexandrinus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,59.5,,56.8,20,37,,,55,35
3032,Haloferax mediterranei,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,60.3,3.9,56.3,20,50.5,47,54,55,35
3033,Haloferax mucosum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,60.8,,56.5,23,47.5,42,53,55,32
3034,Haloferax larsenii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,62.2,,57.2,25,43.5,42,45,55,30
3035,Haloferax prahovense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,63.7,,56.8,23,43,38,48,51,28
3036,Haloferax chudinovii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,65,,57,23,42.5,40,45,51,28
3037,Haloferax sulfurifontis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,60.5,,56.8,18,34.5,32,37,50,32
3038,Haloferax massiliensis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,65.4,,57.2,25,37,,,45,20
3039,Haloferax lucentense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,64.5,,56.6,10,37,,,45,35
3040,Haloferax namakaokahaiae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,61.5,,56.9,25,30,,,40,15
3049,Halogeometricum rufum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,64.9,,57.3,25,41,40,42,55,30
3050,Halogeometricum borinquense,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,60,3.9,56.9,22,40,,,50,28
3051,Halogeometricum limi,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,61.2,,57.2,20,37,,,50,30
3052,Halogeometricum pallidum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogeometricum,65.4,,57.7,25,30,,,45,20
3054,Halogranum salarium,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,64.4,,57.3,15,37,,,50,35
3055,Halogranum gelatinilyticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,55.7,,57.4,20,37,,,50,30
3056,Halogranum amylolyticum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,64,,57.7,20,37,,,50,30
3057,Halogranum rubrum,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halogranum,55.7,,57.4,20,37,,,50,30
3058,Halohasta litorea,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,62.4,,56.9,25,40,,,50,25
3059,Halohasta litchfieldiae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halohasta,58.9,3.3,56.3,25,30,,,45,20
3064,Halolamina litorea,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,61.4,,58.4,20,37,,,50,30
3065,Halolamina rubra,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,65.1,,58.5,20,37,,,50,30
3066,Halolamina pelagica,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,64.8,,58.6,25,37,,,50,25
3067,Halolamina salina,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,66.2,,59.2,20,39.5,37,42,50,30
3068,Halolamina salifodinae,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,65.4,,58.1,20,39.5,37,42,45,25
3069,Halolamina sediminis,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halolamina,68,,58.9,25,38.5,37,40,45,20
3070,Halomarina salina,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,67.1,,59.4,20,30,,,55,35
3071,Halomarina rubra,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,64.6,,58.7,20,37,,,50,30
3072,Halomarina oriensis,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomarina,67.7,,58.8,20,37,,,42,22
3073,Halomicroarcula pellucida,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,64.1,,58.5,25,40,,,55,30
3074,Halomicroarcula limicola,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,64,,59.2,20,37,,,50,30
3075,Halomicroarcula salina,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicroarcula,64.5,,58.4,20,37,,,50,30
3076,Halomicrobium zhouii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,69.1,,58.8,20,42,,,55,35
3077,Halomicrobium katesii,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halomicrobium,52.4,,57.6,35,38.5,37,40,50,15
3078,Halomicrococcus hydrotolerans,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Halobacteriaceae,Halomicrococcus,62.9,,58.7,20,37,,,55,35
3165,Halonotius roseus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,62.7,,57.2,25,37,,,50,25
3166,Halonotius terrestris,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,61.9,,57.2,25,37,,,50,25
3167,Halonotius pteroides,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halonotius,58,,56.9,25,45,,,45,20
3168,Haloparvum alkalitolerans,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Haloparvum,70.1,,58.2,20,47.5,45,50,55,35
3169,Haloparvum sedimenti,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Haloparvum,68.2,,58.2,25,42,,,50,25
3170,Halopelagius longus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,64.6,,57.1,20,48,,,55,35
3171,Halopelagius fulvigenes,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,66.3,,57.4,20,39.5,37,42,55,35
3172,Halopelagius inordinatus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Halopelagius,61,,56.7,20,37,,,50,30
3173,Halopenitus malekzadehii,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,63.8,,59.3,30,40,,,50,20
3174,Halopenitus persicus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,66,3.1,58.8,25,40,,,50,25
3175,Halopenitus salinus,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,65,,60.2,20,37,,,50,30
3177,Halopiger goleimassiliensis,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halopiger,66.1,,59.1,40,55,,,60,20
